mean,std,max,min,range,skewness,kurtosis,rms,crest_factor,variance,zero_crossings,dominant_freq,spectral_energy,spectral_centroid,spectral_bandwidth,spectral_flatness,event,event_str,label
-4.765465795265836e-06,0.0013497831811381,0.0075417569292324,-0.0061890212994241,0.0137307782286566,-0.0047881456246035,0.4721818521411647,0.0013497915934497,5.58734916251583,1.8219146360834304e-06,5798,475.0,7.037722601166148e-08,1962.1600928981293,2412.05265917968,0.2741875493153026,normal,normal,0
-5.524223712400647e-06,0.0243600777011608,0.2151477930505846,-0.249092711692423,0.4642405047430076,-0.036716858106339,26.678484158305498,0.024360078327535,8.83198281047379,0.0005934133856065,2809,375.0,2.4684636622965403e-05,352.8689511922665,257.05586312924305,0.0019111023516631,joint X,joint X,1
1.5927425274931615e-05,0.0030362332318321,0.0133894208007237,-0.0147133791249776,0.0281027999257013,-0.0584780064234697,0.2081808027958045,0.0030362750074652,4.4098182041493335,9.21871223808202e-06,2598,475.0,3.56391549807153e-07,681.2514001123997,1274.187100488225,0.0668753317009456,normal,normal,0
6.7015401117975e-05,0.0240020682530633,0.2986415852549535,-0.2906375903316642,0.5892791755866178,0.990778765464145,39.90855522825833,0.0240021618086516,12.442278642889038,0.0005760992804247,1212,75.0,2.348423835600042e-05,263.74757077268674,322.44549441910766,0.0025479136663319,squat A,squat A,1
-0.0001478153496525,0.0080608393452372,0.0246566531256124,-0.0423913947573847,0.0670480478829972,-0.331676686240996,1.2176947195143375,0.0080621945106353,3.058305414622092,6.497713094972522e-05,426,75.0,2.240564068460299e-06,244.16121755536665,566.4997992621084,0.0119839412577194,normal,normal,0
4.399628536999551e-05,0.0478557214118418,0.5602825046624524,-0.3885927989712898,0.9488753036337424,0.8498489367532865,27.503941552972105,0.0478557416358888,11.707738413613356,0.0022901700718478,1008,125.0,9.354343261277196e-05,272.71763654055644,234.7726243526104,0.0007340314147745,joint X,joint X,1
-2.439816482554368e-05,0.0478703200762983,0.5602825046624524,-0.3885927989712898,0.9488753036337424,0.8534140063196358,27.471675303464192,0.0478703262938294,11.704171415574288,0.0022915675442072,1041,125.0,8.840655019617419e-05,274.88655845675595,244.11074904243117,0.0007924684548645,squat B,squat B,1
-3.8398108841491295e-05,0.0459947035785646,0.6637445659771678,-0.6804801377760774,1.344224703753245,0.1064037553402804,72.38343641855154,0.0459947196066547,14.430886233321743,0.00211551275728,1255,425.0,7.58876178801485e-05,350.4986139390784,172.12243652702287,0.0006835916182206,squat C,squat C,1
0.0001007020606314,0.0094706561445258,0.0349637586702587,-0.0298073107570548,0.0647710694273135,0.1399756394320201,0.1056200903527395,0.00947119151495,3.691590294111305,8.969332780784548e-05,488,150.0,3.711260644661879e-06,318.1989640749436,461.4418215614068,0.0084137443628416,normal,normal,0
-2.776844304321589e-06,0.0421192773213287,0.5457737353837396,-0.5886337017493616,1.1344074371331012,0.2448260609955791,56.44939188617143,0.0421192774128648,12.957813355483625,0.001774033522071,1023,125.0,6.776576541775114e-05,269.7670280398132,515.9410423311672,0.0025289605806519,squat A,squat A,1
-5.123970536950176e-06,0.0116872777345071,0.0424134610739674,-0.0492275820428109,0.0916410431167783,-0.1020150388825864,0.4607057709266136,0.0116872788577401,3.629027902066191,0.0001365924608435,521,150.0,4.985777915673431e-06,316.3184144498818,407.7385074818593,0.0063363851564653,normal,normal,0
9.534749215732078e-07,0.0576800884886544,0.7562818774411305,-0.8205252230977487,1.576807100538879,0.4487554335850888,63.45195036909677,0.0576800884965351,13.111662917898624,0.003326992608059,858,125.0,0.0001408221538002,216.0373004822197,163.86447922050905,0.0004157900288507,squat B,squat B,1
9.919680257020463e-06,0.0239223234791344,0.3426221094172718,-0.2104586086940872,0.5530807181113591,2.570847638232195,47.13964137780657,0.0239223255357919,14.322274350152544,0.0005722775606403,990,125.0,2.3562260489389108e-05,265.6000150595933,269.5701844707005,0.0018904108751148,squat C,squat C,1
0.0002044694572182,0.0113635145363561,0.0298361717715057,-0.0369337716368285,0.0667699434083343,-0.2068506835122362,-0.0991792893042244,0.011365353948598,2.625186325603712,0.0001291294626179,152,425.0,5.252591232965443e-06,412.4167083436912,402.8661204109831,0.0059870990129197,normal,normal,0
-2.3666596801266023e-05,0.0242661404464382,0.3315837666614034,-0.2653672555912276,0.5969510222526311,0.541142504914029,25.98569503752264,0.0242661519873685,13.664456022281804,0.0005888455721662,898,450.0,2.441911419329294e-05,390.74521068390754,272.56607204082815,0.0019848867866466,squat D,squat D,1
1.6352265243256702e-05,0.0177150528056824,0.1344574786658847,-0.1729389775804737,0.3073964562463585,-0.471472884952739,9.65633654629046,0.017715060352838,7.590009629537838,0.0003138230959081,980,425.0,1.267212140055193e-05,357.0038219837414,334.2830073717033,0.0032474158280991,normal,normal,0
-3.2706332314922414e-06,0.02001358895892,0.1945496346537987,-0.1938233044136533,0.388372939067452,-0.1560133261743245,21.480014634253315,0.0200135892261645,9.720876773040624,0.0004005437430166,1164,425.0,1.597936567735756e-05,341.8664509424282,368.0213920782533,0.0035674192311951,squat E,squat E,1
1.3511910823615643e-05,0.0221428194411395,0.2400788345147596,-0.3023348410356731,0.5424136755504327,-0.2428811039377996,41.07819892279745,0.0221428235637337,10.842286387900812,0.0004903044528029,1163,150.0,1.875190597330636e-05,420.1246414782621,343.6202076700304,0.0031588031984046,squat D,squat D,1
-2.89683281730387e-05,0.0148430592459936,0.0571271575033349,-0.0492407889306364,0.1063679464339713,0.0108306007704316,0.037311733692714,0.0148430875138603,3.848738171892485,0.00022031640778,1098,450.0,8.753599985122554e-06,418.0276861515292,397.0771745106177,0.0055819751397111,normal,normal,0
